time, S_all, I_all, R_all, IR_all, S_c, S_a, S_e, I_c, I_a, I_e, R_c, R_a, R_e
0.0, 127443492.0, 1.0, 0.0, 0.0, 15758424.0, 76499827.0, 35185241.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
0.1, 127443491.94709319, 1.0317440770583055, 0.021162718337726896, 6.760405296940804e-42, 15758423.999523839, 76499826.96666871, 35185240.980900645, 0.00047125611961582444, 1.0123702143678892, 0.01890260657080038, 4.90504297577311e-06, 0.02096106657099082, 0.00019674672376030245
0.2, 127443491.8925069, 1.0644958479744748, 0.042997232607584514, 3.813743776814251e-31, 15758423.999032563, 76499826.93227935, 35185240.961195, 0.0009477556521849727, 1.025532560071327, 0.03801553225096276, 1.96820814558552e-05, 0.042188080370254344, 0.0007894701558743144
0.30000000000000004, 127443491.83619103, 1.098285380730158, 0.06552358813238598, 1.1821018091666105e-25, 15758423.99852572, 76499826.89680034, 35185240.940864965, 0.0014298506925486546, 1.0395026300824861, 0.05735289995512317, 4.4430040361067305e-05, 0.06369701980737709, 0.0017821382846478207
0.4, 127443491.77808729, 1.1331476173957535, 0.08876507962811273, 4.0903834691570924e-22, 15758423.998002786, 76499826.86019498, 35185240.91988952, 0.001917930158950244, 1.0542993776115945, 0.07693030962520875, 7.928413255584547e-05, 0.08550562084751885, 0.003180174648038039
0.5, 127443491.7181375, 1.1691175000416594, 0.11274500181074626, 1.4249666458144398e-19, 15758423.99746324, 76499826.82242662, 35185240.89824764, 0.0024123829696331154, 1.0699417558688795, 0.09676336120314669, 0.00012437957090462583, 0.10763161945583945, 0.004989002784002191
0.6000000000000001, 127443491.65628336, 1.2062299707382735, 0.13748664939626815, 1.2625450052161675e-17, 15758423.99690655, 76499826.78345852, 35185240.8759183, 0.0029135980428406432, 1.0864487180645686, 0.11686765463086424, 0.00017985156827184454, 0.13009275159749878, 0.007214046230497499
0.7000000000000001, 127443491.59245545, 1.2445267252301049, 0.16301781955125008, 4.562125518299825e-16, 15758423.9963321, 76499826.74324693, 35185240.85287642, 0.0034220188218682538, 1.1038437294980379, 0.1372609769101987, 0.00024588211760741627, 0.15290933250712366, 0.009862604926519004
0.8, 127443491.5265996, 1.28404023496702, 0.18936015991078212, 8.80408510287678e-15, 15758423.995739397, 76499826.70175774, 35185240.82910246, 0.003938013538766665, 1.1221441231911016, 0.1579580982371515, 0.0003225900586486509, 0.17609812418635976, 0.012939445665773708
0.9, 127443491.45867091, 1.3247974397228572, 0.2165316303249583, 1.0720386684069095e-13, 15758423.99512804, 76499826.65896268, 35185240.804580204, 0.004461904498197314, 1.141363588615138, 0.17897194660952181, 0.0004100571833602374, 0.19967372392679422, 0.01644784921480386
1.0, 127443491.38859403, 1.3668435730460564, 0.24456238649684234, 9.19022591561277e-13, 15758423.994497346, 76499826.61481424, 35185240.77928245, 0.004994161596362239, 1.1615280413653073, 0.20032137008438694, 0.0005084920988560255, 0.2236577113617501, 0.0203961830362362
1.1, 127443491.31629354, 1.4102238684850565, 0.273482584129498, 5.981907568638257e-12, 15758423.993846642, 76499826.56926493, 35185240.75318197, 0.005535254729463476, 1.182663397036769, 0.22202521671882425, 0.0006181034122498654, 0.24807166612455064, 0.02479281459269749
1.2000000000000002, 127443491.24169405, 1.4549835595882976, 0.3033223789259889, 3.120812804579988e-11, 15758423.993175246, 76499826.52226725, 35185240.72625156, 0.0060856537937030615, 1.2047955712246836, 0.24410233456991096, 0.0007390997306556066, 0.27293716784851885, 0.02964611134681447
1.3, 127443491.1647202, 1.5011678799042179, 0.33411192658937877, 1.3583380145479132e-10, 15758423.992482482, 76499826.47377372, 35185240.69846399, 0.006645828685283031, 1.2279504795242104, 0.26657157169472434, 0.0008716896611870989, 0.2982757961669778, 0.034964440761213876
1.4000000000000001, 127443491.08529656, 1.548822062981257, 0.3658813828227314, 5.084768330851097e-10, 15758423.99176767, 76499826.42373683, 35185240.669792056, 0.007216249300405426, 1.2521540375305098, 0.2894517761503419, 0.0010160818109581926, 0.32410913071325076, 0.040756170298522486
1.5, 127443491.00334775, 1.5979913423678542, 0.39866090332911036, 1.676144601778346e-09, 15758423.99103013, 76499826.37210909, 35185240.640208535, 0.007797385535272278, 1.2774321608387413, 0.3127617959938407, 0.001172484787082737, 0.3504587511206606, 0.047029667421367
1.6, 127443490.91879839, 1.648720951612449, 0.43248064381157947, 4.95720077048661e-09, 15758423.990269186, 76499826.31884299, 35185240.60968622, 0.008389707286085627, 1.3038107650440651, 0.3365204792822982, 0.0013411071966745825, 0.3773462370225307, 0.05379329959237422
1.7000000000000002, 127443490.8314977, 1.701101367714191, 0.4674009222849923, 1.3352425157858135e-08, 15758423.98948348, 76499826.26384355, 35185240.57817067, 0.00899406922286011, 1.3313451907182163, 0.3607621077731148, 0.0015224515250427052, 0.4048112487066022, 0.06106722205334741
1.8, 127443490.74143803, 1.7551371654978658, 0.5034247886255651, 3.31580388705464e-08, 15758423.988672942, 76499826.20710596, 35185240.54565913, 0.009610592715411157, 1.3600350230347475, 0.3854915497477071, 0.0017164650245890382, 0.432859004560284, 0.06884931904069204
1.9000000000000001, 127443490.64857814, 1.8108531145454352, 0.5405687558864397, 7.668283460669179e-08, 15758423.987837203, 76499826.14860423, 35185240.512136705, 0.01023956985595505, 1.3898930233393598, 0.41072052135012027, 0.0019232271467929402, 0.4615027512976778, 0.07714277744196893
2.0, 127443490.55280739, 1.868315555058452, 0.578877050877745, 1.665463513162915e-07, 15758423.986975266, 76499826.08826865, 35185240.47756347, 0.010881646499751332, 1.4209589800101536, 0.4364749285485469, 0.002143087139616095, 0.49077235775833117, 0.08596160597979775
2.1, 127443490.45401525, 1.9275908272384696, 0.6183939004096105, 3.421122835692725e-07, 15758423.986086138, 76499826.02602962, 35185240.44189951, 0.01153746850205955, 1.45327268142523, 0.4627806773111801, 0.0023763942510201877, 0.520697692781792, 0.09531981337679832
2.2, 127443490.3520912, 1.9887452712870413, 0.6591635312921649, 6.686572050654494e-07, 15758423.98516882, 76499825.96181746, 35185240.40510492, 0.012207681718139247, 1.4868739159626894, 0.48966367360621255, 0.0026234977289669023, 0.5513086252076077, 0.10523140835559035
2.3000000000000003, 127443490.24692461, 2.05184522740572, 0.7012301703355376, 1.2498779627057267e-06, 15758423.98422232, 76499825.8955625, 35185240.36713978, 0.012892932003249966, 1.521802472000633, 0.5171498234018371, 0.0028847468214179247, 0.5826350238753261, 0.11571039963879357
2.4000000000000004, 127443490.13840492, 2.1169570357960588, 0.7446380443498575, 2.244294854221417e-06, 15758423.983245645, 76499825.82719511, 35185240.32796417, 0.013593865212651254, 1.558098137917161, 0.5452650326662467, 0.0031604907763349383, 0.6147067576244948, 0.1267707959490277
2.5, 127443490.02642159, 2.1841470366596107, 0.7894313801452533, 3.88601034921242e-06, 15758423.982237794, 76499825.7566456, 35185240.287538186, 0.014311127201602648, 1.5958007020903746, 0.5740352073676338, 0.0034510788416796264, 0.6475536952946612, 0.1384266060089125
2.6, 127443489.91086403, 2.2534815701979296, 0.8356544045318549, 6.5101384884011205e-06, 15758423.981197776, 76499825.68384434, 35185240.24582191, 0.015045363825363702, 1.6349499528983744, 0.6034862534741916, 0.0037568602654136766, 0.6812057057253735, 0.15069183854106769
2.7, 127443489.79162169, 2.325026976612568, 0.8833513443197911, 1.0583036808806573e-05, 15758423.980124595, 76499825.60872166, 35185240.202775426, 0.015797220939193956, 1.6755856787192613, 0.633644076954113, 0.0040781842954987725, 0.7156926577561793, 0.16358050226811305
2.8000000000000003, 127443489.66858397, 2.3988495961050793, 0.9325664263191908, 1.6737262872523807e-05, 15758423.979017256, 76499825.5312079, 35185240.15835881, 0.016567344398352953, 1.717747667931136, 0.6645345837755905, 0.004415400179896598, 0.751044420226626, 0.1771066059126683
2.9000000000000004, 127443489.54164037, 2.4750157688770162, 0.9833438773401831, 2.5810955479727295e-05, 15758423.977874763, 76499825.45123343, 35185240.11253216, 0.017356380058100244, 1.7614757089120991, 0.6961836799068171, 0.004768857166568838, 0.7872908619762612, 0.19128415819735314
